0.4,Max14:8.9,Sherman12:9.1,Chris20:8.8,Danny19:9.0,Jeffrey1:9.1,Marcus17:8.9,Ryan18:9.1,Frank8:8.9,Joeseph9:9.1,Jose15:8.9,Martin16:9.2,Khoman 6:9.2,Alex2:9.0,Tom11:9.0,Michael7:8.9,Vivien3:9.1,John4:8.9
0.0,Max14:8.8,Sherman12:9.2,Chris20:8.6,Danny19:9.0,Jeffrey1:9.2,Marcus17:8.8,Ryan18:9.2,Frank8:8.8,Joeseph9:9.2,Jose15:8.8,Martin16:9.4,Khoman 6:9.4,Alex2:9.0,Tom11:9.0,Michael7:8.8,Vivien3:9.2,John4:8.8
1.5,Max14:8.9,Sherman12:8.9,Chris20:8.8,Danny19:9.7,Jeffrey1:9.1,Marcus17:8.8,Ryan18:9.1,Frank8:9.4,Joeseph9:9.1,Jose15:9.3,Martin16:8.9,Khoman 6:9.2,Alex2:8.3,Jonathan5:8.2,Tom11:8.6,Michael7:8.9,Vivien3:9.2,Jessica10:9.5,John4:9.0
1.1,Max14:8.8,Sherman12:8.8,Chris20:8.6,Danny19:10.2,Jeffrey1:9.2,Marcus17:8.6,Ryan18:9.2,Frank8:9.6,Joeseph9:9.2,Jose15:9.5,Martin16:8.8,Khoman 6:9.4,Alex2:7.8,Jonathan5:7.6,Tom11:8.3,Michael7:8.8,Vivien3:9.4,Jessica10:9.8,John4:9.0
0.9,Max14:8.7,Sherman12:8.7,Chris20:8.5,Danny19:10.6,Jeffrey1:9.3,Marcus17:8.5,Ryan18:9.3,Frank8:9.8,Joeseph9:9.3,Jose15:9.6,Martin16:8.9,Khoman 6:9.6,Alex2:7.4,Jonathan5:7.2,Tom11:8.1,Michael7:8.8,Vivien3:9.5,Jessica10:10.1,John4:9.0
0.5,Max14:8.6,Sherman12:8.7,Chris20:8.4,Danny19:10.9,Jeffrey1:9.4,Marcus17:8.4,Ryan18:9.3,Frank8:9.9,Joeseph9:9.4,Jose15:9.7,Martin16:8.9,Khoman 6:9.8,Alex2:7.1,Jonathan5:6.9,Tom11:8.0,Michael7:8.8,Vivien3:9.6,Jessica10:10.3,John4:9.0
0.3,Max14:8.6,Sherman12:8.6,Chris20:8.3,Danny19:11.0,Jeffrey1:9.3,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.5,Jose15:9.8,Martin16:8.8,Khoman 6:9.8,Alex2:7.0,Jonathan5:6.7,Tom11:7.9,Michael7:8.8,Vivien3:9.6,Jessica10:10.4,John4:9.0
0.3,Max14:8.6,Sherman12:8.6,Chris20:8.2,Danny19:11.0,Jeffrey1:9.2,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.8,Khoman 6:9.8,Alex2:7.0,Jonathan5:6.6,Tom11:7.8,Michael7:8.8,Vivien3:9.6,Jessica10:10.4,John4:9.0
0.3,Max14:8.5,Sherman12:8.6,Chris20:8.1,Danny19:11.1,Jeffrey1:9.2,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.8,Khoman 6:9.8,Alex2:6.9,Jonathan5:6.5,Tom11:7.8,Michael7:8.9,Vivien3:9.6,Jessica10:10.4,John4:9.0
0.3,Max14:8.6,Sherman12:8.5,Chris20:8.1,Danny19:11.1,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.9,Jonathan5:6.5,Tom11:7.7,Michael7:8.8,Vivien3:9.6,Jessica10:10.5,John4:9.0
0.3,Max14:8.5,Sherman12:8.5,Chris20:8.1,Danny19:11.2,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.8,Khoman 6:9.8,Alex2:6.8,Jonathan5:6.4,Tom11:7.7,Michael7:8.9,Vivien3:9.6,Jessica10:10.5,John4:9.0
0.3,Max14:8.4,Sherman12:8.5,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.7,Michael7:9.0,Vivien3:9.6,Jessica10:10.5,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.3,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
