# game instances,# players,avg %error
5,20,61.80952381
10,20,55.64285714
15,20,35.58730159
20,20,17.03968254
25,20,11.49206349
30,20,44.38095238
35,20,12.86111111
40,20,20.24206349
45,20,36.07539683
50,20,36.07539683
55,20,36.07539683
60,20,0
65,20,0
70,20,0
75,20,0
80,20,0
85,20,0
90,20,0
95,20,0
100,20,0
105,20,0
110,20,0
115,20,0
120,20,0
125,20,0
130,20,0
135,20,0
140,20,0
145,20,0
150,20,0
155,20,0
160,20,0
165,20,0
170,20,0
175,20,0
180,20,0
185,20,0
190,20,0
195,20,0
200,20,0
205,20,0
210,20,0
215,20,0
220,20,0
225,20,0
230,20,0
235,20,0
240,20,0
245,20,0
250,20,0
255,20,0
260,20,0
265,20,0
270,20,0
275,20,0
280,20,0
285,20,0
290,20,0
295,20,0
300,20,0
305,20,0
310,20,0
315,20,0
320,20,0
325,20,0
330,20,0
335,20,0
340,20,0
345,20,0
350,20,0
355,20,0
360,20,0
365,20,0
370,20,0
375,20,0
380,20,0
385,20,0
390,20,0
395,20,0
400,20,0
405,20,0
410,20,0
415,20,0
420,20,0
425,20,0
430,20,0
435,20,0
440,20,0
445,20,0
450,20,0
455,20,0
460,20,0
465,20,0
470,20,0
475,20,0
480,20,0
485,20,0
490,20,0
495,20,0
500,20,0
5,30,82.05173427
10,30,61.93915344
15,30,51.6031746
20,30,46.87830688
25,30,37.5026455
30,30,28.26190476
35,30,25.74338624
40,30,29.97619048
45,30,38.96560847
50,30,39.24338624
55,30,45.07671958
60,30,34.03968254
65,30,42.0952381
70,30,37.0026455
75,30,42.46560847
80,30,37.0026455
85,30,0
90,30,37.0026455
95,30,37.0026455
100,30,35.33597884
105,30,0
110,30,35.33597884
115,30,0
120,30,37.0026455
125,30,0
130,30,0
135,30,0
140,30,0
145,30,35.89153439
150,30,35.89153439
155,30,35.89153439
160,30,35.89153439
165,30,35.22486772
170,30,35.22486772
175,30,35.89153439
180,30,0
185,30,35.89153439
190,30,0
195,30,35.89153439
200,30,35.89153439
205,30,35.89153439
210,30,0
215,30,0
220,30,0
225,30,0
230,30,0
235,30,0
240,30,0
245,30,0
250,30,0
255,30,0
260,30,0
265,30,0
270,30,0
275,30,0
280,30,0
285,30,0
290,30,0
295,30,0
300,30,0
305,30,0
310,30,0
315,30,0
320,30,0
325,30,0
330,30,0
335,30,0
340,30,0
345,30,0
350,30,0
355,30,0
360,30,0
365,30,0
370,30,0
375,30,0
380,30,0
385,30,0
390,30,0
395,30,0
400,30,0
405,30,0
410,30,0
415,30,0
420,30,0
425,30,0
430,30,0
435,30,0
440,30,0
445,30,0
450,30,0
455,30,0
460,30,0
465,30,0
470,30,0
475,30,0
480,30,0
485,30,0
490,30,0
495,30,0
500,30,0
5,40,59.38684076
10,40,53.07142857
15,40,54.37202381
20,40,45.21130952
25,40,40.22916667
30,40,36.4077381
35,40,26.83829365
40,40,41.8234127
45,40,32.25198413
50,40,28.12698413
55,40,37.67857143
60,40,48.07738095
65,40,53.10714286
70,40,53.10714286
75,40,35.67162698
80,40,35.67162698
85,40,35.67162698
90,40,35.67162698
95,40,35.67162698
100,40,35.67162698
105,40,35.67162698
110,40,35.67162698
115,40,35.67162698
120,40,35.67162698
125,40,35.67162698
130,40,35.67162698
135,40,35.67162698
140,40,35.67162698
145,40,35.67162698
150,40,35.67162698
155,40,35.67162698
160,40,35.67162698
165,40,35.67162698
170,40,35.67162698
175,40,35.67162698
180,40,35.67162698
185,40,35.67162698
190,40,35.67162698
