a,b,c,d,e,f
Game ID: ,1,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Martin16,Off,6
Marcus17,Def,4,Khoman 6,Def,6
John4,Off,4,Joeseph9,Def,7
Frank8,Off,9,Jeffrey1,Off,7
Michael7,na,8,Ryan18,na,5
Jose15,Def,8,Sherman12,Def,5
Chris20,Def,3,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,2,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Martin16,Off,6
Marcus17,Def,4,Khoman 6,Def,6
John4,Off,4,Joeseph9,Def,7
Frank8,Off,9,Jeffrey1,Off,7
Michael7,na,8,Ryan18,na,5
Jose15,Def,8,Sherman12,Def,5
Chris20,Def,3,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,3,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Tom11,na,3
Ryan18,na,5,Sherman12,Def,5
Vivien3,Off,8,John4,Off,4
Max14,Off,5,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,4,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Tom11,na,3
Ryan18,na,5,Sherman12,Def,5
Vivien3,Off,8,John4,Off,4
Max14,Off,5,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,5,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Jose15,Def,8
Michael7,na,8,Max14,Off,5
Sherman12,Def,5,Alex2,Off,3
Tom11,na,3,Ryan18,na,5
Danny19,na,9,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,6,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Jose15,Def,8
Michael7,na,8,Max14,Off,5
Sherman12,Def,5,Alex2,Off,3
Tom11,na,3,Ryan18,na,5
Danny19,na,9,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,7,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Alex2,Off,3
Frank8,Off,9,Tom11,na,3
Jose15,Def,8,Sherman12,Def,5
Danny19,na,9,Jonathan5,Def,9
Score,,6,,,0
,,,,,
Game ID: ,8,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Alex2,Off,3
Frank8,Off,9,Tom11,na,3
Jose15,Def,8,Sherman12,Def,5
Danny19,na,9,Jonathan5,Def,9
Score,,7,,,0
,,,,,
Game ID: ,9,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jessica10,Off,7
John4,Off,4,Martin16,Off,6
Jose15,Def,8,Max14,Off,5
Sherman12,Def,5,Marcus17,Def,4
Ryan18,na,5,Jonathan5,Def,9
Vivien3,Off,8,Chris20,Def,3
Score,,2,,,0
,,,,,
Game ID: ,10,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jessica10,Off,7
John4,Off,4,Martin16,Off,6
Jose15,Def,8,Max14,Off,5
Sherman12,Def,5,Marcus17,Def,4
Ryan18,na,5,Jonathan5,Def,9
Vivien3,Off,8,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,11,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jonathan5,Def,9
Khoman 6,Def,6,Jeffrey1,Off,7
John4,Off,4,Danny19,na,9
Michael7,na,8,Chris20,Def,3
Alex2,Off,3,Karen13,Def,7
Tom11,na,3,Max14,Off,5
Ryan18,na,5,Frank8,Off,9
Jose15,Def,8,Martin16,Off,6
Score,,0,,,5
,,,,,
Game ID: ,12,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jonathan5,Def,9
Khoman 6,Def,6,Jeffrey1,Off,7
John4,Off,4,Danny19,na,9
Michael7,na,8,Chris20,Def,3
Alex2,Off,3,Karen13,Def,7
Tom11,na,3,Max14,Off,5
Ryan18,na,5,Frank8,Off,9
Jose15,Def,8,Martin16,Off,6
Score,,0,,,3
,,,,,
Game ID: ,13,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Max14,Off,5
Sherman12,Def,5,Ryan18,na,5
Frank8,Off,9,Karen13,Def,7
Martin16,Off,6,Danny19,na,9
Score,,0,,,3
,,,,,
Game ID: ,14,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Max14,Off,5
